Test Case ID,Module,Test Case Name,Description,Preconditions,Test Steps,Test Data,Expected Result,Priority,Test Type
TC_DATA_OM_001,Schema,Order schema validation,Verify order schema enforces required fields,Database connected,"1. Attempt to create order without required fields
2. Verify validation error
3. Check error message",Order missing orderItems,"Validation error thrown
Order not created",High,Data
TC_DATA_OM_002,Schema,Field data types validation,Verify correct data types enforced,Database connected,"1. Attempt to insert wrong data types
2. Verify type validation
3. Check error handling",String for price field,"Type validation error
Data rejected",High,Data
TC_DATA_OM_003,Schema,Status enum validation,Verify only valid status values accepted,"Database connected
Order exists","1. Attempt to set invalid status
2. Verify enum validation
3. Check error message","Status: ""InvalidStatus""","Enum validation error
Status not updated",High,Data
TC_DATA_OM_004,Schema,Default values assignment,Verify default values set on creation,Database connected,"1. Create order without optional fields
2. Retrieve order
3. Verify default values","Order without isPaid, isDelivered","isPaid: false
isDelivered: false
status: Pending",High,Data
TC_DATA_OM_005,Schema,Timestamps auto-generation,Verify timestamps created automatically,Database connected,"1. Create new order
2. Retrieve order
3. Check createdAt and updatedAt",New order data,createdAt and updatedAt populated with current timestamp,Medium,Data
TC_DATA_OM_006,References,Product reference validation,Verify product ObjectId references valid product,"Database connected
Products exist","1. Create order with product reference
2. Verify reference valid
3. Check product exists",Valid product ObjectId,"Order created successfully
Product reference valid",High,Data
TC_DATA_OM_007,References,Invalid product reference,Verify invalid product reference rejected,Database connected,"1. Attempt order with invalid product ID
2. Verify validation
3. Check error handling",Non-existent product ID,Reference validation error or order created with invalid ref,Medium,Data
TC_DATA_OM_008,Order Items,Order items validation,Verify all item fields required,Database connected,"1. Create order with incomplete items
2. Verify validation
3. Check error message",Item missing name field,"Validation error
Order not created",High,Data
TC_DATA_OM_009,Order Items,Quantity validation,Verify positive quantity required,Database connected,"1. Attempt order with zero/negative quantity
2. Verify validation
3. Check error handling",Quantity: -1 or 0,"Validation error
Order rejected",High,Data
TC_DATA_OM_010,Order Items,Price validation,Verify positive price required,Database connected,"1. Attempt order with negative price
2. Verify validation
3. Check error handling",Price: -10.00,"Validation error
Order rejected",High,Data
TC_DATA_OM_011,Shipping,Shipping address validation,Verify all address fields required,Database connected,"1. Create order without address field
2. Verify validation
3. Check error message",Missing city field,"Validation error
Order not created",High,Data
TC_DATA_OM_012,Shipping,Address field lengths,Verify string length constraints,Database connected,"1. Create order with very long address
2. Verify handling
3. Check data stored",Address: 500 characters,Data stored or length error,Medium,Data
TC_DATA_OM_013,Payment,Payment method validation,Verify payment method stored,Database connected,"1. Create order with payment method
2. Retrieve order
3. Verify payment method","paymentMethod: ""PayPal""",Payment method stored correctly,High,Data
TC_DATA_OM_014,Payment,Payment result structure,Verify payment result fields,"Database connected
Order paid","1. Update order with payment result
2. Retrieve order
3. Verify all fields present",Payment result object,"All fields: id, status, update_time, email_address present",High,Data
TC_DATA_OM_015,Calculations,Items price calculation,Verify items price accuracy,Database connected,"1. Create order with multiple items
2. Calculate expected itemsPrice
3. Compare with stored value","2 items: $10 x 2, $20 x 1",itemsPrice = $40.00,High,Data
TC_DATA_OM_016,Calculations,Total price calculation,Verify total price accuracy,Database connected,"1. Create order with all prices
2. Calculate expected total
3. Compare with stored value","items: $40, shipping: $10, tax: $5",totalPrice = $55.00,High,Data
TC_DATA_OM_017,Calculations,Price precision,Verify decimal precision,Database connected,"1. Create order with precise prices
2. Retrieve order
3. Verify precision maintained",Price: 19.999,Stored as 19.99 or 20.00,Medium,Data
TC_DATA_OM_018,User Reference,User ObjectId validation,Verify user reference valid,"Database connected
User exists","1. Create order with user reference
2. Verify reference valid
3. Check user exists",Valid user ObjectId,Order created with valid user reference,High,Data
