Test Case ID,Module,Test Case Name,Description,Preconditions,Test Steps,Test Data,Expected Result,Priority,Test Type
TC_FUNC_001,Order,Admin view all orders,Verify admin can view complete list of orders,Admin logged in ,"1. Navigate to orders page
2. Verify orders displayed
3. Check user names populated","Admin token
Orders in database",All orders displayed with user names,High,Functional
TC_FUNC_002,Order,Admin view order details,Verify admin can view single order details,"Admin logged in
Order exists","1. Click on order
2. Verify all order details shown
3. Check items, shipping, payment info",Valid order ID,Complete order details displayed,High,Functional
TC_FUNC_003,Cart, Admin view order summary dashboard,Verify admin can view statistics dashboard,Admin logged in,"1. Navigate to dashboard
2. Verify statistics displayed
3. Check charts rendered",Orders and users in DB,Dashboard shows correct statistics and charts,High,Functional
TC_FUNC_004,Order,Admin update order status to Processing ,Verify admin can change status to Processing ,"Admin logged in
Order with Pending status","1. Open order details
2. Change status to Processing
3. Save changes
4. Verify update","Order ID
New status: Processing","Status updated successfully
Message: ""Order Status Updated""",High,Functional
TC_FUNC_005,Order,Admin update order status to Shipping,Verify admin can change status to Shipping,"Admin logged in
Order with Processing status","1. Open order details
2. Change status to Shipping
3. Save changes
4. Verify update","Order ID
New status: Shipping",Status updated successfully,Medium,Functional
TC_FUNC_006,order,Admin mark order as Delivered,Verify admin can mark order as delivered,"Admin logged in
Order with Shipping status","1. Open order details
2. Change status to Delivered
3. Verify isDelivered flag set
4. Verify deliveredAt timestamp","Order ID
New status: Delivered","Status: Delivered
isDelivered: true
deliveredAt set",High,Functional
TC_FUNC_007,Order,Admin mark COD order as Delivered,Verify COD order marked as paid when delivered ,"Admin logged in
COD order with Shipping status ","1. Open COD order
2. Change status to Delivered
3. Verify isPaid set to true
4. Verify paidAt timestamp
5. Verify cart clearedt","COD order ID
paymentMethod: COD ","Status: Delivered
isPaid: true
paidAt set
Cart deleted",High,Functional
TC_FUNC_008,Order,Admin cancel order,Verify admin can cancel order,"Admin logged in
Order exists ","1. Open order details
2. Change status to Cancelled
3. Save changes
4. Verify cancellation","Order ID
New status: Cancelled",Status updated to Cancelled,Medium,Functional
TC_FUNC_009,Order,View order with invalid ID,Verify error handling for invalid order ID | Admin logged in,Admin logged in ,"1. Request order with invalid ID
2. Verify error response",Invalid order ID,"Error 404: ""Order Not Found""",Medium,Functional
TC_FUNC_010,Order,pdate order status with invalid value,Verify validation for invalid status,"Admin logged in
Order exists","1. Attempt to update with invalid status
2. Verify error response","Order ID
Invalid status value",Error: Invalid status value,Medium,Functional
