Test Case ID,Module,Test Case Name,Description,Preconditions,Test Steps,Test Data,Expected Result,Priority,Test Type
TC_SEC_OM_001,Auth,Valid JWT token authentication,Verify valid token accepted,User logged in,"1. Generate valid JWT token
2. Send request with token
3. Verify access granted",Valid user credentials,"Request successful
User authenticated",High,Security
TC_SEC_OM_002,Auth,Invalid JWT token rejection,Verify invalid token rejected,None,"1. Create invalid token
2. Send request with invalid token
3. Verify rejection",Malformed token,"401 error
Message: ""Invalid Token""",High,Security
TC_SEC_OM_003,Auth,Expired JWT token rejection,Verify expired token rejected,Token expired,"1. Use expired token (>30 days)
2. Send request
3. Verify rejection",Expired token,"401 error
Token rejected",High,Security
TC_SEC_OM_004,Auth,Missing authorization header,Verify request without token rejected,None,"1. Send request without Authorization header
2. Verify rejection",No token,"401 error
Message: ""No Token""",High,Security
TC_SEC_OM_005,Auth,Malformed authorization header,Verify malformed header rejected,None,"1. Send request with malformed header
2. Verify rejection","Header: ""InvalidFormat token""","401 error
Request rejected",High,Security
TC_SEC_OM_006,Auth,Token signature validation,Verify token signature checked,None,"1. Create token with wrong secret
2. Send request
3. Verify rejection",Token with wrong signature,"401 error
Invalid signature",High,Security
TC_SEC_OM_007,Auth,Bearer token format,Verify Bearer format required,User logged in,"1. Send token without ""Bearer "" prefix
2. Verify handling",Token without Bearer,Token extraction fails or error,Medium,Security
TC_SEC_OM_008,Auth,Token in request body,Verify token only accepted in header,None,"1. Send token in request body
2. Verify rejection",Token in body,"401 error
No token in header",Medium,Security
TC_SEC_OM_009,AuthZ,Admin access with isAdmin=true,Verify admin user can access admin endpoints,Admin logged in,"1. Login as admin
2. Access /api/orders
3. Verify access granted",Admin credentials,"Access granted
Orders returned",High,Security
TC_SEC_OM_010,AuthZ,Non-admin access rejection,Verify non-admin rejected from admin endpoints,Non-admin logged in,"1. Login as regular user
2. Attempt /api/orders
3. Verify rejection",Non-admin credentials,"401 error
Message: ""Invalid Admin Token""",High,Security
TC_SEC_OM_011,AuthZ,Missing isAdmin flag,Verify user without isAdmin rejected,User without isAdmin,"1. Login as user
2. Attempt admin endpoint
3. Verify rejection",User without isAdmin,"401 error
Access denied",High,Security
TC_SEC_OM_012,AuthZ,Admin order list access,Verify only admin can list all orders,Admin and user exist,"1. Attempt GET /api/orders as non-admin
2. Verify rejection
3. Attempt as admin
4. Verify success",Admin and user tokens,"Non-admin: 401
Admin: Success",High,Security
TC_SEC_OM_013,AuthZ,Admin order summary access,Verify only admin can access summary,Admin and user exist,"1. Attempt GET /api/orders/summary as non-admin
2. Verify rejection
3. Attempt as admin
4. Verify success",Admin and user tokens,"Non-admin: 401
Admin: Success",High,Security
TC_SEC_OM_014,AuthZ,Admin status update access,Verify only admin can update status,"Admin and user exist
Order exists","1. Attempt PUT /api/orders/:id/status as non-admin
2. Verify rejection
3. Attempt as admin
4. Verify success","Order ID
New status","Non-admin: 401
Admin: Success",High,Security
TC_SEC_OM_015,AuthZ,User own orders access,Verify user can access own orders,"User logged in
User has orders","1. Login as user
2. Access /api/orders/mine
3. Verify only user's orders returned",User credentials,Only user's orders returned,High,Security
TC_SEC_OM_016,AuthZ,User order details access,Verify user can view own order details,"User logged in
Order exists","1. Login as user
2. Access /api/orders/:id for own order
3. Verify access granted",User's order ID,Order details returned,High,Security
TC_SEC_OM_017,AuthZ,Cross-user order access prevention,Verify user cannot access other user's orders,"Two users exist
Orders exist","1. Login as User A
2. Attempt to access User B's order
3. Verify rejection or no data","User A token
User B order ID",Access denied or order not found,High,Security
TC_SEC_OM_018,Injection,SQL injection in order ID,Verify SQL injection prevented,Admin logged in,"1. Send request with SQL injection in ID
2. Verify injection blocked","ID: ""1' OR '1'='1""","Injection blocked
No data breach",High,Security
TC_SEC_OM_019,Injection,NoSQL injection in query,Verify NoSQL injection prevented,Admin logged in,"1. Send request with NoSQL injection
2. Verify injection blocked","Query: {""$ne"": null}","Injection blocked
No unauthorized access",High,Security
TC_SEC_OM_020,Injection,XSS in shipping address,Verify XSS scripts sanitized,User creating order,"1. Create order with script in address
2. Retrieve order
3. Verify script sanitized","Address: ""<script>alert('XSS')</script>""",Script sanitized or escaped,High,Security
TC_SEC_OM_021,Injection,XSS in order items,Verify XSS in item names sanitized,User creating order,"1. Create order with script in item name
2. Retrieve order
3. Verify script sanitized","Name: ""<script>...</script>""",Script sanitized,Medium,Security
TC_SEC_OM_022,Injection,Command injection attempt,Verify command injection blocked,Admin logged in,"1. Send request with command injection
2. Verify blocked","Input: ""; rm -rf /""","Command not executed
Request rejected",High,Security
TC_SEC_OM_023,Data,Password not in response,Verify password not exposed,User logged in,"1. Retrieve user data
2. Check response
3. Verify password not included",User token,Password field not in response,High,Security
TC_SEC_OM_024,Data,Payment data security,Verify payment data secured,Order with payment,"1. Retrieve order
2. Check payment data
3. Verify sensitive data protected",Order with payment,Sensitive payment data protected,High,Security
TC_SEC_OM_025,Data,Email privacy,Verify emails not exposed unnecessarily,Multiple users,"1. List orders
2. Check user data
3. Verify emails not exposed to non-admin",Order list,Emails only visible to admin,Medium,Security
TC_SEC_OM_026,Encryption,JWT token encryption,Verify token encrypted with secret,User logged in,"1. Generate token
2. Inspect token
3. Verify encrypted with JWT_SECRET",User data,"Token encrypted
Cannot read without secret",High,Security
TC_SEC_OM_027,Encryption,HTTPS enforcement,Verify HTTPS used for API,Production environment,"1. Attempt HTTP request
2. Verify redirect to HTTPS
3. Check certificate",API endpoint,"HTTPS enforced
Valid certificate",High,Security
