Test Case ID,API Endpoint,Method,Test Case Name,Description,Preconditions,Request Headers,Request Body,Expected Status,Expected Response,Priority
TC_API_OM_001,/api/orders,GET,Get all orders as admin,Verify admin can retrieve all orders,"Admin logged in
Orders exist",Authorization: Bearer {admin_token},N/A,200,Array of orders with user names,High
TC_API_OM_002,/api/orders,GET,Get all orders without token,Verify authentication required,Orders exist,None,N/A,401,"{""message"": ""No Token""}",High
TC_API_OM_003,/api/orders,GET,Get all orders with invalid token,Verify token validation,Orders exist,Authorization: Bearer invalid_token,N/A,401,"{""message"": ""Invalid Token""}",High
TC_API_OM_004,/api/orders,GET,Get all orders as non-admin,Verify admin authorization required,"Non-admin logged in
Orders exist",Authorization: Bearer {user_token},N/A,401,"{""message"": ""Invalid Admin Token""}",High
TC_API_OM_005,/api/orders,GET,Get all orders when empty,Verify empty array returned,"Admin logged in
No orders",Authorization: Bearer {admin_token},N/A,200,[],Medium
TC_API_OM_006,/api/orders/:id,GET,Get order by valid ID,Verify order details retrieved,"Admin logged in
Order exists",Authorization: Bearer {admin_token},N/A,200,Order object with user populated,High
TC_API_OM_007,/api/orders/:id,GET,Get order by invalid ID,Verify 404 for invalid ID,Admin logged in,Authorization: Bearer {admin_token},N/A,404,"{""message"": ""Order Not Found""}",High
TC_API_OM_008,/api/orders/:id,GET,Get order without authentication,Verify authentication required,Order exists,None,N/A,401,"{""message"": ""No Token""}",High
TC_API_OM_009,/api/orders/:id,GET,Get order as owner,Verify user can view own order,"User logged in
User's order",Authorization: Bearer {user_token},N/A,200,Order object,High
TC_API_OM_010,/api/orders/mine,GET,Get user's orders,Verify user orders retrieved,"User logged in
User has orders",Authorization: Bearer {user_token},N/A,200,Array of user's orders,High
TC_API_OM_011,/api/orders/mine,GET,Get user's orders when empty,Verify empty array for no orders,"User logged in
No orders",Authorization: Bearer {user_token},N/A,200,[],Medium
TC_API_OM_012,/api/orders/mine,GET,Get user's orders without token,Verify authentication required,None,None,N/A,401,"{""message"": ""No Token""}",High
TC_API_OM_013,/api/orders/summary,GET,Get dashboard summary,Verify summary statistics,"Admin logged in
Data exists",Authorization: Bearer {admin_token},N/A,200,"{users, orders, dailyOrders, productCategories}",High
